	doc_name	era	doc_word_count	new_split	keep_doc	split
7660	العصر-العباسي_أبو-فراس-الحمداني_الشعر-ديوان-العرب_001	العصر-العباسي	28	test	True	train
7671	العصر-العباسي_ابو-نواس_وجه-حمدان-فاحذرو_001	العصر-العباسي	25	train	True	test
7676	العصر-العباسي_أبو-المخفف_دع-عنك-لومي-يا-عذول_001	العصر-العباسي	31	dev	True	train
7677	العصر-المملوكي_الغزالي_يا-رب-رأسي-ضرني_001	العصر-المملوكي	31	train	True	train
7679	العصر-الاموي_يزيد-بن-معاوية_ولقد-طعنت-الليل-في-أعجازه_001	العصر-الاموي	35	train	True	train
7687	العصر-العثماني_أبو-بحر-الخطي_يا-من-تملكني-بما_001	العصر-العثماني	31	train	True	test
7692	العصر-العباسي_عرقلة-الدمشقي_علي-صوته-سوط_001	العصر-العباسي	26	dev	True	dev
7785	العصر-العباسي_ابن-المعتز_تفاحة-معضوضة_001	العصر-العباسي	26	train	True	dev
7802	العصر-المملوكي_بهاء-الدين-زهير_أكتاب-من-فاضل_001	العصر-المملوكي	30	train	True	train
7814	العصر-العباسي_أبو-نخيلة_أظل-أرعى-وترا-هزينا_001	العصر-العباسي	25	train	True	test
7838	العصر-الاموي_الكميت-بن-زيد_وإنا-لذوادون-عن-حرماتنا_001	العصر-الاموي	35	train	True	train
7859	العصر-المملوكي_الشريف-العقيلي_يا-ذا-الذي-لم-يدع-لي_001	العصر-المملوكي	28	train	True	train
7868	العصر-العباسي_خالد-الكاتب_عزم-السرور-على-المقام_001	العصر-العباسي	29	test	True	train
7883	العصر-الأندلسي_الأرجاني_قلت-للحاسد-نما_001	العصر-الأندلسي	30	train	True	dev
7913	العصر-الايوبي_فتيان-الشاغوري_لا-سقى-الله-بعلبك_001	العصر-الايوبي	33	dev	True	train
7951	العصر-العباسي_بشار-بن-برد_يا-أبا-الفضل-لا-تنم_001	العصر-العباسي	30	train	True	train
7962	العصر-الجاهلي_عدي-بن-زيد_قل-لأم-البنين-إن-حان-موتي_001	العصر-الجاهلي	36	train	True	train
7964	العصر-العثماني_احمد-الغزال_أمير-عظيم-رحيب-غنى_001	العصر-العثماني	33	train	True	train
7969	العصر-العباسي_ابو-نواس_أقول-والغيث-دان_001	العصر-العباسي	27	test	True	train
7997	العصر-العثماني_ابن-النقيب_در-در-الصبا-ودر-التصابي_001	العصر-العثماني	36	train	True	train
8002	العصر-العباسي_خالد-الكاتب_أيها-المسهر-طرفي_001	العصر-العباسي	30	train	True	train
8013	العصر-العثماني_الأمير-الصنعاني_أحب-الحديث-وأهل-الحديث_001	العصر-العثماني	34	dev	True	train
8021	العصر-العباسي_ابن-حجاج_غطت-البظراء-لما_001	العصر-العباسي	27	test	True	dev
8043	العصر-الأندلسي_ابن-خفاجه_رحلت-عنكم-ولي-فؤاد_001	العصر-الأندلسي	30	dev	True	train
8063	العصر-الايوبي_ابن-الساعاتي_يا-كاتباً-لو-أطعت-فيه_001	العصر-الايوبي	33	train	True	train
8083	العصر-الأندلسي_ابن-قلاقس_وعسكري-كلما-رمته_001	العصر-الأندلسي	29	train	True	dev
8113	العصر-الاموي_عبيد-الله-بن-الرقيات_رقية-تيمت-قلبي_001	العصر-الاموي	34	train	True	train
8118	العصر-الأندلسي_الأرجاني_من-كان-يخدم-بالخطا-كبراءه_001	العصر-الأندلسي	32	dev	True	train
8120	العصر-العباسي_أبو-تمام_شبيه-الخد-بالتفا_001	العصر-العباسي	30	test	True	train
8196	العصر-المملوكي_أبو-الحسين-الجزار_خد-هو-الجنة-إلا_001	العصر-المملوكي	27	dev	True	train
8209	العصر-الايوبي_سبط-ابن-التعاويذي_لم-يبق-لي-في-هوى-الغواني_001	العصر-الايوبي	34	train	True	train
8222	العصر-المملوكي_الشريف-العقيلي_إذا-الفتى-مرة-كساني_001	العصر-المملوكي	30	test	True	train
8325	العصر-العباسي_ابن-لنكك_يا-زمانا-ألبس-الأحرار_001	العصر-العباسي	27	train	True	train
8327	العصر-المملوكي_لسان-الدين-بن-الخطيب_خليفة-الله-في-أرضه_001	العصر-المملوكي	31	train	True	train
8347	العصر-العباسي_خالد-الكاتب_ليس-حظي-منك-إلا_001	العصر-العباسي	27	train	True	train
8377	العصر-الاموي_أبو-زبيد-الطائي_تنازعني-ضبيعة-أمر-قومي_001	العصر-الاموي	34	dev	True	train
8402	العصر-العباسي_البحتري_قد-لعمري-آذيتنا_001	العصر-العباسي	23	train	True	test
8414	العصر-العباسي_خالد-الكاتب_ليست-بأولِ-ليلة_001	العصر-العباسي	30	train	True	train
8435	العصر-العباسي_هارون-الرشيد_أف-للدنيا-وللزينة_001	العصر-العباسي	27	train	True	dev
8454	العصر-الأندلسي_ابن-وهبون_وصارم-في-يديك-منصلت_001	العصر-الأندلسي	34	train	True	train
8460	العصر-الايوبي_ابن-الساعاتي_روضى-أريضة_001	العصر-الايوبي	32	test	True	train
8480	العصر-العباسي_الحسين-بن-الضحاك_لا-وحبيك-لا-أصافح_001	العصر-العباسي	30	train	True	train
8486	العصر-العباسي_ابن-الرومي_فتى-لم-يخلق-الله_001	العصر-العباسي	27	train	True	train
8516	العصر-العثماني_علي-الغراب-الصفاقسي_وقطعة-حاكها-أديب_001	العصر-العثماني	35	train	True	train
8519	العصر-العباسي_الأمين-العباسي_تفرقوا-ودعوني_001	العصر-العباسي	27	dev	True	dev
8523	العصر-العباسي_ابو-نواس_اردد-علي-المدام-بالجام_001	العصر-العباسي	30	train	True	train
8525	العصر-العباسي_ابن-الرومي_أريد-جداك-وأستمنحك_001	العصر-العباسي	31	train	True	train
8526	العصر-الاموي_نصيب-بن-رباح_الحمد-لله-جاءت-النعم_001	العصر-الاموي	33	train	True	train
8575	العصر-العباسي_خالد-الكاتب_جسمي-صحيح-سليم_001	العصر-العباسي	27	dev	True	train
8583	العصر-الأندلسي_ابن-خفاجه_عاط-أخلاءك-المداما_001	العصر-الأندلسي	28	train	True	test
8637	العصر-العثماني_نيقولاوس-الصائغ_أي-مار-نيقولاوس-المولى-الذي_001	العصر-العثماني	37	train	True	train
8646	العصر-العباسي_خالد-الكاتب_أيها-الطرف-كم-حذرت_001	العصر-العباسي	31	train	True	train
8722	العصر-العباسي_الصنوبري_حنت-أباريقي-وأقداحي_001	العصر-العباسي	30	train	True	train
8737	العصر-الايوبي_ابن-كسرى_بإحدى-هذه-الخيمات-جاره_001	العصر-الايوبي	35	test	True	train
8739	العصر-العثماني_عبد-الغني-النابلسي_فر-دهري-بحقه_001	العصر-العثماني	30	train	True	train
8767	العصر-الايوبي_سبط-ابن-التعاويذي_شويكة-قصابكم-قد-أغار_001	العصر-الايوبي	34	train	True	train
8768	العصر-العباسي_أبو-هلال-العسكري_قد-قرب-الأمر-بعد-بعده_001	العصر-العباسي	31	train	True	train
8774	العصر-المملوكي_بهاء-الدين-زهير_سلمت-من-كل-ألم_001	العصر-المملوكي	31	train	True	train
8779	العصر-العباسي_البحتري_عشنا-بأنعم-عيش_001	العصر-العباسي	25	train	True	test
8828	العصر-المملوكي_السراج-الوراق_نظرت-من-خلل-السج_001	العصر-المملوكي	26	train	True	test
8848	العصر-العباسي_ابو-نواس_لا-أعير-الدهر-سمعي_001	العصر-العباسي	26	dev	True	dev
8859	العصر-العباسي_ابن-الرومي_تعلم-حوت-يونس-من_001	العصر-العباسي	28	dev	True	train
8869	العصر-العباسي_محمود-الوراق_أيها-الشيخ-المعلل_001	العصر-العباسي	29	train	True	train
8918	العصر-العباسي_عبدالصمد-العبدي_بنت-المنية-بي-موكله_001	العصر-العباسي	31	train	True	train
8947	العصر-المملوكي_الشريف-العقيلي_خذ-في-الخلاعة-والتصابي_001	العصر-المملوكي	28	train	True	train
8967	العصر-العباسي_عبد-المحسن-الصوري_طال-شغل-القصائد_001	العصر-العباسي	28	train	True	train
8970	العصر-العباسي_عبد-المحسن-الصوري_وصديق-مصدق_001	العصر-العباسي	27	train	True	train
8977	العصر-الايوبي_سبط-ابن-التعاويذي_ستارة-ترخى-على-مجلس_001	العصر-الايوبي	33	train	True	train
8978	العصر-الاموي_الكميت-بن-زيد_أما-أخوك-أبو-الوليد_001	العصر-الاموي	32	train	True	test
8993	العصر-المملوكي_الشريف-العقيلي_لحظات-سواحر_001	العصر-المملوكي	20	train	True	test
9016	العصر-المملوكي_بهاء-الدين-زهير_أفلست-ياسيدي-من-الورق_001	العصر-المملوكي	32	train	True	train
9025	العصر-العثماني_الهبل_يا-طرف-أنجد-بالدموع_001	العصر-العثماني	32	train	True	test
9028	العصر-المملوكي_ابن-الوردي_فول-بفلس-غداء_001	العصر-المملوكي	24	train	True	dev
9052	العصر-العباسي_ابن-عبد-ربه_ذكرت-من-طيزناباذ_001	العصر-العباسي	29	train	True	train
9060	العصر-العباسي_علي-بن-الجهم_وليلة-كأنها-نهار_001	العصر-العباسي	31	train	True	train
9081	العصر-العباسي_الأحنف-العكبري_ثلاثة-أشياء-تضني-الفؤاد_001	العصر-العباسي	27	train	True	train
9099	العصر-المملوكي_بهاء-الدين-زهير_هذا-كتابي-وهو-يط_001	العصر-المملوكي	31	test	True	train
9100	العصر-الايوبي_داود-بن-عيسى-الايوبي_أحب-الغادة-الحسناء-ترنو_001	العصر-الايوبي	34	train	True	train
9129	العصر-العثماني_الهبل_غير-حظي-لا-ألوم_001	العصر-العثماني	27	train	True	dev
9130	العصر-العباسي_ابو-نواس_سقيا-لحرب-جنيتها-عبثا_001	العصر-العباسي	28	train	True	train
9132	العصر-العباسي_ابن-هندو_صار-التصرف-صرفا_001	العصر-العباسي	26	train	True	dev
9154	العصر-العباسي_خالد-الكاتب_بوجنتيه-يحسن-الجلنار_001	العصر-العباسي	30	train	True	train
9166	العصر-العباسي_ابن-المعتز_قل-للأمير-سلمت-للدنيا_001	العصر-العباسي	26	train	True	dev
9226	العصر-العباسي_أبو-هلال-العسكري_خرمة-كهامة-الطاووسه_001	العصر-العباسي	31	train	True	train
9284	العصر-العباسي_خالد-الكاتب_يا-شبيها-بالذي-يكشف_001	العصر-العباسي	29	train	True	train
9321	العصر-العثماني_ابن-معصوم_يا-قهوة-قشرية_001	العصر-العثماني	22	test	True	test
9341	العصر-العثماني_أحمد-الكيواني_يا-موقد-النار-في-ضلوعي_001	العصر-العثماني	33	test	True	train
9375	العصر-العثماني_ابن-معصوم_أفديه-من-رشأ-تبدى-واختفى_001	العصر-العثماني	37	train	True	train
9401	العصر-العباسي_عبد-المحسن-الصوري_لا-تنعمي-بالا-ولا-ترقدي_001	العصر-العباسي	30	train	True	train
9404	المخضرمون_مالك-الأشتر_ويحك-يابن-العاصي_001	المخضرمون	29	test	True	dev
9416	العصر-المملوكي_الشريف-العقيلي_إذا-الصديق-رماني_001	العصر-المملوكي	22	train	True	dev
9430	العصر-العثماني_علي-الغراب-الصفاقسي_وكل-على-القلب-مستنكر_001	العصر-العثماني	35	test	True	train
9435	العصر-العباسي_أبو-عثمان-الخالدي_متبرم-بعتابه_001	العصر-العباسي	24	train	True	test
9444	العصر-العباسي_المأمون_ظباء-كالدنانير_001	العصر-العباسي	19	train	True	test
9462	العصر-المملوكي_بهاء-الدين-زهير_وجاهل-لازمني_001	العصر-المملوكي	28	train	True	train
9469	العصر-العباسي_السري-الرفاء_بديعة-جسمها-زبرجدة_001	العصر-العباسي	30	test	True	train
9486	العصر-العباسي_كشاجم_لي-من-سر-بني-العباس_001	العصر-العباسي	28	dev	True	train
9487	العصر-المملوكي_بهاء-الدين-زهير_أيها-الخائف-من-أمر_001	العصر-المملوكي	31	dev	True	train
9500	العصر-العباسي_ابو-نواس_أله-بالبيض-الملاح_001	العصر-العباسي	24	train	True	test
9501	العصر-العباسي_الحسين-بن-الضحاك_أنا-الخليع-فقوموا_001	العصر-العباسي	30	train	True	train
9504	العصر-الايوبي_الشهاب-محمود-بن-سلمان_قبلت-رجل-حبيبي_001	العصر-الايوبي	26	dev	True	dev
9571	العصر-الاموي_الطرماح_يا-فرسي-سيري-وأمي-الشاما_001	العصر-الاموي	30	dev	True	train
9582	العصر-العثماني_ابن-الجزري_أيا-مولاي-يا-مولى-العطايا_001	العصر-العثماني	34	train	True	train
9610	العصر-المملوكي_تميم-الفاطمي_يا-غزالا-إذا-شكوت_001	العصر-المملوكي	28	train	True	train
9611	العصر-العباسي_بشار-بن-برد_وشخص-طيب-الأردا_001	العصر-العباسي	26	train	True	dev
9618	العصر-الايوبي_أبو-بكر-بن-مغاور_أيها-النحرير-علماً_001	العصر-الايوبي	25	dev	True	dev
9630	العصر-الأندلسي_ابن-خفاجه_ومهفهف-طاوي-الحشا_001	العصر-الأندلسي	29	train	True	dev
9654	العصر-المملوكي_الشريف-العقيلي_يا-أيها-المتنصحونا_001	العصر-المملوكي	26	train	True	test
9658	العصر-الأندلسي_عمارة-اليمني_غير-بعيد-وغير-ممتنع_001	العصر-الأندلسي	34	dev	True	train
9679	العصر-العباسي_الوأواء-الدمشقي_وإذا-النميمة-للرياح-جرت_001	العصر-العباسي	30	test	True	train
9698	العصر-الايوبي_المكزون-السنجاري_إن-قلت-حل-بذا-وحا_001	العصر-الايوبي	31	train	True	train
9719	العصر-العباسي_خالد-الكاتب_مستعيذ-بك-من-حزن_001	العصر-العباسي	29	train	True	train
9741	العصر-الايوبي_ابن-دنينير_سلب-القلب-وراحا_001	العصر-الايوبي	34	dev	True	train
9762	العصر-العباسي_خالد-الكاتب_يلام-على-البكاء-أخو_001	العصر-العباسي	30	dev	True	train
9807	العصر-الايوبي_الجزار-السرقسطي_فلما-أن-تلاقينا_001	العصر-الايوبي	32	train	True	train
9810	العصر-العباسي_ابو-نواس_إنما-همتي-غلا_001	العصر-العباسي	31	train	True	train
9821	العصر-العباسي_العباس-بن-الأحنف_يا-من-يلوم-على-هوى_001	العصر-العباسي	27	dev	True	dev
9838	المخضرمون_أبو-طالب_إذا-قيل-من-خير-هذا-الورى_001	المخضرمون	32	dev	True	test
9858	العصر-العباسي_الوأواء-الدمشقي_ظالمي-في-كل-حال_001	العصر-العباسي	27	test	True	train
9864	العصر-العباسي_خالد-الكاتب_يا-نائيا-أين-دمعي_001	العصر-العباسي	30	train	True	train
9867	العصر-المملوكي_السراج-الوراق_فابق-مجد-الدين-عن-مج_001	العصر-المملوكي	32	train	True	train
9892	العصر-الاموي_وضاح-اليمن_أبى-القلب-اليماني_001	العصر-الاموي	24	train	True	dev
9917	العصر-الاموي_الأقيشر-الأسدي_أبني-تميم-ما-لمنبر-ملككم_001	العصر-الاموي	35	train	True	train
9940	العصر-الايوبي_ابن-الساعاتي_يا-حبذا-زمن-الربيع-ودوحه_001	العصر-الايوبي	35	train	True	train
9955	العصر-العباسي_الوأواء-الدمشقي_يا-شيعة-اللهو-هبوا_001	العصر-العباسي	25	dev	True	test
9958	العصر-المملوكي_شهاب-الدين-الخلوف_بنت-السحاب-زوجت_001	العصر-المملوكي	25	test	True	test
9961	العصر-العباسي_أبو-العلاء-المعري_تهجد-معشر-ليلا-ونمنا_001	العصر-العباسي	30	train	True	train
9985	العصر-المملوكي_ابن-نباته-المصري_أفدي-حبيبا-ليس-لي_001	العصر-المملوكي	28	train	True	train
9992	العصر-العباسي_جحظة-البرمكي_ماذا-ترى-في-جدي_001	العصر-العباسي	25	train	True	test
10005	العصر-العباسي_ابن-عبد-ربه_يا-هلالا-قد-تجلى_001	العصر-العباسي	31	train	True	train
10021	العصر-العثماني_نيقولاوس-الصائغ_أرسلت-منظومي-اليك-مؤرخا_001	العصر-العثماني	37	train	True	train
10062	العصر-العثماني_شهاب-الدين-الخفاجي_سبح-الحبيب-ببركة_001	العصر-العثماني	29	train	True	dev
10072	العصر-المملوكي_تميم-الفاطمي_عن-لي-أن-أقبلك_001	العصر-المملوكي	30	train	True	train
10105	العصر-العباسي_خالد-الكاتب_يا-سائلي-عن-منامي_001	العصر-العباسي	30	train	True	train
10161	العصر-العباسي_ابن-المعتز_عودوا-إلى-الإصباح_001	العصر-العباسي	26	test	True	dev
10162	العصر-العباسي_الجاحظ_نسب-الجماز-مقصور_001	العصر-العباسي	30	train	True	train
10203	العصر-العباسي_ماني-الموسوس_معذب-القلب-بالفراق_001	العصر-العباسي	29	train	True	train
10205	العصر-الاموي_عبيد-الله-بن-الرقيات_علل-القوم-يشربوا_001	العصر-الاموي	32	train	True	test
10296	العصر-الايوبي_المكزون-السنجاري_عذلوا-ولو-وجدوا-بكم-وجدي_001	العصر-الايوبي	34	dev	True	train
10308	العصر-المملوكي_الشريف-العقيلي_يا-سروة-في-كثيب_001	العصر-المملوكي	27	train	True	test
10311	العصر-المملوكي_صفي-الدين-الحلي_ليس-البلاغة-معنى_001	العصر-المملوكي	32	test	True	train
10322	العصر-العباسي_الوزير-المهلبي_لولا-شغيل-عافني-بالقرب_001	العصر-العباسي	29	train	True	train
10350	العصر-الايوبي_محيي-الدين-بن-عربي_إنما-الإنسان-أنفاسه_001	العصر-الايوبي	29	train	True	test
10374	العصر-الأندلسي_ابن-قلاقس_ما-تلقيت-بالمضيرة-إلا_001	العصر-الأندلسي	29	train	True	dev
10494	العصر-المملوكي_ابن-الوردي_قل-للذي-ما-تأدب_001	العصر-المملوكي	25	train	True	dev
10496	العصر-المملوكي_الشريف-العقيلي_عرائس-القضب-تجلى_001	العصر-المملوكي	23	train	True	dev
10556	العصر-الأندلسي_مرج-الكحل_تعلم-إن-تشا-عزا_001	العصر-الأندلسي	34	dev	True	train
10557	العصر-الايوبي_أسامة-بن-منقذ_واوحشتي-في-الدار-لما-أصبحت_001	العصر-الايوبي	34	train	True	train
10578	العصر-الأندلسي_عمارة-اليمني_يا-ملكاً-ساحة-أبوابه_001	العصر-الأندلسي	35	train	True	train
10599	العصر-العباسي_خالد-الكاتب_تسلم-ثم-لا-تقف_001	العصر-العباسي	28	train	True	train
10612	المخضرمون_الأسود-بن-قطبة_طرقنا-بالثني-بني-بجير_001	المخضرمون	34	train	True	train
10624	العصر-العباسي_دعبل-الخزاعي_ما-يتقضى-عجبي_001	العصر-العباسي	27	test	True	train
10627	العصر-الأندلسي_ابن-شهيد_كتبت-لها-أنني-عاشق_001	العصر-الأندلسي	31	dev	True	train
10644	العصر-الجاهلي_زهير-بن-أبي-سلمى_وقالت-أم-كعب-لا-تزرني_001	العصر-الجاهلي	36	dev	True	train
10648	العصر-الاموي_الحسين-بن-علي_إذا-ما-عضك-الدهر_001	العصر-الاموي	31	test	True	test
10664	العصر-العباسي_ابن-الرومي_يا-عليلا-جعل-العلة_001	العصر-العباسي	28	dev	True	train
10679	العصر-العباسي_أبو-هلال-العسكري_خبز-الأمير-عشيقه_001	العصر-العباسي	23	dev	True	test
10690	العصر-العثماني_علي-الغراب-الصفاقسي_وأغيد-فيه-عذر-مصطبر_001	العصر-العثماني	37	train	True	train
10700	العصر-الايوبي_أبو-زيد-الفازازي_ولا-تزل-في-سعود_001	العصر-الايوبي	32	train	True	train
10714	العصر-العثماني_ابن-معصوم_يا-بروق-الحيا_001	العصر-العثماني	29	train	True	dev
10720	العصر-العباسي_ابن-الرومي_وسائل-ذات-يوم_001	العصر-العباسي	26	train	True	dev
10727	العصر-المملوكي_الشريف-العقيلي_ما-صار-للقطر-انسكاب_001	العصر-المملوكي	27	train	True	test
10802	العصر-العثماني_عبد-الغني-النابلسي_حوت-تعاظم-فالتقم_001	العصر-العثماني	34	test	True	train
10815	العصر-العباسي_الأحنف-العكبري_يا-سائلي-عن-سيري_001	العصر-العباسي	27	test	True	train
10829	العصر-العباسي_ابو-نواس_ومحكم-في-مهجتي_001	العصر-العباسي	30	train	True	train
10871	العصر-العثماني_علي-الغراب-الصفاقسي_تفضل-أيها-الملك-المعلى_001	العصر-العثماني	34	train	True	train
10897	العصر-الجاهلي_المرقش-الأصغر_الزق-ملك-لمن-كان-له_001	العصر-الجاهلي	35	test	True	train
10940	العصر-المملوكي_السراج-الوراق_كن-لي-جوابا-فلفظي_001	العصر-المملوكي	29	dev	True	train
10950	العصر-المملوكي_بهاء-الدين-زهير_اليوم-أنت-بخير_001	العصر-المملوكي	22	train	True	dev
10968	العصر-المملوكي_تميم-الفاطمي_بعثت-بخشكان-كالأماني_001	العصر-المملوكي	32	train	True	train
10986	العصر-العباسي_ابن-حجاج_يا-غصة-الموت-افغري_001	العصر-العباسي	30	train	True	train
10994	العصر-العباسي_ابو-العتاهية_إنما-أنت-بحسك_001	العصر-العباسي	27	train	True	train
11016	العصر-العثماني_ابن-النقيب_ما-اسم-من-الأزهار-تركيبه_001	العصر-العثماني	37	train	True	train
11020	المخضرمون_الشماخ-الذبياني_إذا-ما-جد-واستذكى-عليها_001	المخضرمون	34	train	True	train
11035	العصر-الأندلسي_ابن-زيدون_يا-أيها-الملك-الجلي_001	العصر-الأندلسي	31	train	True	train
11059	العصر-العباسي_عبدالصمد-العبدي_لما-رأيت-البدر-في_001	العصر-العباسي	30	train	True	train
11089	العصر-الأندلسي_ابن-قلاقس_يا-أيها-الحافظ-الذي-بسنا_001	العصر-الأندلسي	34	test	True	train
11099	العصر-المملوكي_تميم-الفاطمي_وساق-يدير-إلفه_001	العصر-المملوكي	31	train	True	train
11125	العصر-الاموي_الوليد-بن-يزيد_أسلمى-تلك-حييت_001	العصر-الاموي	29	test	True	train
11160	العصر-العباسي_الأحنف-العكبري_كيف-لا-أعرض-عممن_001	العصر-العباسي	28	dev	True	train
11179	العصر-العباسي_الأحنف-العكبري_ذكرك-الموت-قد-يفت_001	العصر-العباسي	30	dev	True	train
11193	العصر-الأندلسي_ظافر-الحداد_عندنا-كيزان-فقا_001	العصر-الأندلسي	32	train	True	train
11207	العصر-العباسي_ابو-نواس_وشادن-تسحر-عيناه_001	العصر-العباسي	30	dev	True	train
11209	العصر-العباسي_ابن-الرومي_يا-خالد-ابن-أبيه_001	العصر-العباسي	28	test	True	train
11212	المخضرمون_مالك-الأشتر_في-كل-يوم-هامتي-مقيره_001	المخضرمون	33	train	True	train
11213	العصر-العثماني_ابن-معصوم_كل-نجم-سيعتريه-أفول_001	العصر-العثماني	34	test	True	train
11269	العصر-الايوبي_ابن-عنين_سليمان-السليماني-يبغو_001	العصر-الايوبي	31	train	True	train
11271	العصر-الجاهلي_بلعاء-بن-قيس-الكناني_أبلغ-الحارث-عني-أنني_001	العصر-الجاهلي	35	train	True	train
11274	العصر-الاموي_عبيد-الله-بن-الرقيات_نادتك-والعيس-سراع-بنا_001	العصر-الاموي	34	test	True	train
11320	المخضرمون_كعب-بن-مالك-الأنصاري_ألا-انعي-النبي-إلى-العالمينا_001	المخضرمون	33	dev	True	train
11339	العصر-الأندلسي_ابن-حمديس_وأدهم-ينهب-عرض-المدى_001	العصر-الأندلسي	34	test	True	train
11341	العصر-العباسي_الحلاج_قد-تحققت-في-سرري_001	العصر-العباسي	26	dev	True	dev
11372	العصر-الايوبي_ابن-مسعود-القرطبي_وقائلة-أراك-على-التصابي_001	العصر-الايوبي	34	train	True	train
11380	العصر-الجاهلي_عنترة-بن-شداد_وغادرن-نضلة-في-معركٍ_001	العصر-الجاهلي	32	test	True	dev
11387	العصر-الجاهلي_الخرنق-بنت-بدر_عفا-من-آل-ليلى-السهب_001	العصر-الجاهلي	33	train	True	train
11389	العصر-العباسي_ابن-طباطبا-العلوي_يا-من-يزيل-خلقة_001	العصر-العباسي	28	train	True	train
11410	العصر-العباسي_الصاحب-بن-عباد_بمحمد-ووصيه-وابنيهما-الطاهرين_001	العصر-العباسي	29	train	True	train
11418	العصر-العباسي_الصاحب-بن-عباد_وشادن-ذي-غنج_001	العصر-العباسي	26	train	True	dev
11428	العصر-العباسي_أبو-عثمان-الخالدي_بليت-بأحسن-الثقلين_001	العصر-العباسي	24	train	True	test
11439	العصر-العباسي_الأحنف-العكبري_كل-من-أوليته-خيرا_001	العصر-العباسي	29	train	True	train
11449	العصر-المملوكي_صفي-الدين-الحلي_وعدكم-بالندى-سقيم_001	العصر-المملوكي	28	test	True	train
11452	العصر-العباسي_محمود-الوراق_قدر-الله-كائن_001	العصر-العباسي	27	train	True	train
11469	العصر-العباسي_الأحنف-العكبري_ولقد-بليت-بمعشر_001	العصر-العباسي	27	train	True	dev
11528	العصر-العباسي_المتنبي_أحب-امرئ-حبت-الأنفس_001	العصر-العباسي	30	train	True	train
11531	المخضرمون_علي-بن-أبي-طالب_دبوا-دبيب-النمل-لا-تفوتوا_001	المخضرمون	33	test	True	train
11558	العصر-الاموي_الوليد-بن-يزيد_هل-إلى-أم-سعيد_001	العصر-الاموي	25	train	True	dev
11587	العصر-العثماني_جميل-صدقي-الزهاوي_قد-تنبهت-من-النوم_001	العصر-العثماني	34	train	True	train
11591	العصر-العباسي_خالد-الكاتب_أصبح-القلب-عنده_001	العصر-العباسي	26	train	True	dev
11600	العصر-المملوكي_ابن-نباته-المصري_يا-إماما-صفاته_001	العصر-المملوكي	25	train	True	dev
11604	العصر-العباسي_كشاجم_أخوك-الذي-إن-عثرت_001	العصر-العباسي	27	train	True	train
11625	العصر-العباسي_الصنوبري_أبكى-على-ظلي-الذي_001	العصر-العباسي	30	test	True	train
11650	العصر-العباسي_ابن-الرومي_فعلت-بنا-مقل-الجآذر_001	العصر-العباسي	26	train	True	dev
11663	العصر-العباسي_إبراهيم-الصولي_مضت-على-عهده-الليالي_001	العصر-العباسي	30	train	True	train
11672	العصر-الاموي_أبو-زبيد-الطائي_ألا-أبلغ-بني-عمرو-رسولا_001	العصر-الاموي	33	train	True	test
11678	العصر-العباسي_أبو-العلاء-المعري_مضى-زماني-وتقضى-المدى_001	العصر-العباسي	31	train	True	train
11690	العصر-المملوكي_ابن-الأبار-البلنسي_أبستان-الرصافة-لا_001	العصر-المملوكي	30	train	True	train
11692	العصر-المملوكي_الشريف-العقيلي_قد-طرزت-مساور-الكثبان_001	العصر-المملوكي	29	train	True	train
11700	العصر-العباسي_خالد-الكاتب_هوى-علمه-الهجرا_001	العصر-العباسي	28	train	True	train
11705	العصر-المملوكي_الطغرائي_لاح-الهلال-والثري_001	العصر-المملوكي	23	dev	True	dev
11725	العصر-العباسي_ابو-نواس_يا-قضيبا-في-كثيب_001	العصر-العباسي	29	test	True	train
11763	العصر-العباسي_السري-الرفاء_مدحت-أبا-جعفر_001	العصر-العباسي	25	train	True	test
11764	المخضرمون_لبيد-بن-ربيعة_يا-هرم-ابن-الأكرمين-منصبا_001	المخضرمون	31	test	True	train
11774	العصر-العباسي_ابو-نواس_إذا-شاقك-ناقوس_001	العصر-العباسي	24	train	True	test
11787	المخضرمون_علي-بن-أبي-طالب_كن-للمكاره-بالعزاء-مقطعا_001	المخضرمون	35	test	True	train
11792	العصر-الايوبي_ابن-الدهان_لا-يبخلون-بزادهم-عن-سائل_001	العصر-الايوبي	35	train	True	train
11818	العصر-العباسي_خالد-الكاتب_قل-لمن-أسقم-باللحظ_001	العصر-العباسي	25	train	True	test
11824	العصر-الاموي_الوليد-بن-يزيد_طرقتني-وصحابي-هجوع_001	العصر-الاموي	32	train	True	test
11845	العصر-الايوبي_المكزون-السنجاري_سعي-الفتى-لسوى-كف_001	العصر-الايوبي	33	test	True	train
11848	العصر-العباسي_ابن-عبد-ربه_مستهام-دمعه-سافح_001	العصر-العباسي	30	train	True	train
11873	العصر-العباسي_السري-الرفاء_حبيب-حباك-بلينوفر_001	العصر-العباسي	29	train	True	train
11878	العصر-العباسي_خالد-الكاتب_عليك-تصدعت-كبدي_001	العصر-العباسي	29	dev	True	train
11889	العصر-العباسي_العباس-بن-الأحنف_ضن-الطبيب-على-المري_001	العصر-العباسي	29	dev	True	train
11895	العصر-الايوبي_العماد-الأصبهاني_طريق-مصر-ضيق-المسلك_001	العصر-الايوبي	34	test	True	train
11934	العصر-الأندلسي_ابن-الحناط_شرفت-بيحيى-فلم-أجمل_001	العصر-الأندلسي	33	train	True	train
